"MAPPINGID","SOURCE_SYSTEM","TARGET_SYSTEM","ATTRIBUTE","KEY","VALUE","DESCRIPTION"
"25523","PAS","SFDC","QuoteStatusCode","1036970138","IP","Getting QuoteStatus Values for SFDC from Majesco Request"
"25524","PAS","SFDC","QuoteStatusCode","1036970139","IP","Getting QuoteStatus Values for SFDC from Majesco Request"
"25525","PAS","SFDC","QuoteStatusCode","1036970140","QUOTE","Getting QuoteStatus Values for SFDC from Majesco Request"
"25526","PAS","SFDC","QuoteStatusCode","1036970141","QUOTE","Getting QuoteStatus Values for SFDC from Majesco Request"
"25527","PAS","SFDC","QuoteStatusCode","1036970142","SOLDPEND","Getting QuoteStatus Values for SFDC from Majesco Request"
"25528","PAS","SFDC","QuoteStatusCode","1036970143","QUOTE","Getting QuoteStatus Values for SFDC from Majesco Request"
"25529","PAS","SFDC","QuoteStatusCode","1036970144","IP","Getting QuoteStatus Values for SFDC from Majesco Request"
"25530","PAS","SFDC","QuoteStatusCode","1036970145","IP","Getting QuoteStatus Values for SFDC from Majesco Request"
"25531","PAS","SFDC","QuoteStatusCode","1036970146","DTQ","Getting QuoteStatus Values for SFDC from Majesco Request"
"25532","PAS","GSSP","statusCT","LapsePending","201","STATUS"
"25533","PAS","GSSP","statusCT","PendforUW","202","STATUS"
"25534","MAJESCO","ICOMP","CompensationType","4","BASE","Retrieving CompensationType based on RelationRoleCode"
"25535","MAJESCO","ICOMP","PartyType","4","GA","Retrieving PartyType based on RelationRoleCode"
"25536","PAS","METLIFE","ClaimCheck_Error","03","E303 - PT SEX MUST HAVE A VALUE OF M OR F","NULL"
"25537","PAS","METLIFE","ClaimCheck_Error","04","E304 - TABLE DATA INVALID - CONTACT HBOC -TABLE:","NULL"
"25538","PAS","METLIFE","ClaimCheck_Error","05","E305 - SYSTEM LIMITS EXCEEDED - CONTACT HBOC - TABLE:","NULL"
"25539","PAS","METLIFE","ClaimCheck_Error","08","E308 - INVALID PROCEDURE CODE","NULL"
"25540","PAS","METLIFE","ClaimCheck_Error","09","E309 - DOB CANNOT BE GREATER THAN DATE OF SERVICE","NULL"
"25541","PAS","METLIFE","ClaimCheck_Error","10","E310 - FILE DCACPF UNAVAILABLE","NULL"
"25542","PAS","METLIFE","ClaimCheck_Error","11","E311 - FILE DCCACPF UNAVAILABLE","NULL"
"25543","PAS","METLIFE","ClaimCheck_Error","12","E312 - NO PROCEDURE CODES ENTERED, CLAIM CANNOT BE AUDITED","NULL"
"25544","PAS","METLIFE","ClaimCheck_Error","13","E313 - DOS REQUIRED FOR PROCEDURE","NULL"
"25545","PAS","METLIFE","ClaimCheck_Error","14","E314 - CLIENT PROFILE RECORD NOT FOUND","NULL"
"25546","PAS","METLIFE","ClaimCheck_Error","15","E315 - FILE DCCMOD UNAVAILABLE","NULL"
"25547","PAS","METLIFE","ClaimCheck_Error","16","E316 - FILE DCPLST UNAVAILABLE","NULL"
"25548","PAS","METLIFE","ClaimCheck_Error","17","E317 - FILE DCCPLST UNAVAILABLE","NULL"
"25549","PAS","METLIFE","ClaimCheck_Error","18","E318 - FILE DCSS UNAVAILABLE","NULL"
"25550","PAS","METLIFE","ClaimCheck_Error","19","E319 - FILE DCCSS UNAVAILABLE","NULL"
"25551","PAS","METLIFE","ClaimCheck_Error","20","E320 - DOS CANNOT BE A FUTURE DATE","NULL"
"25552","PAS","METLIFE","ClaimCheck_Error","21","E321 - BIRTHDATE CANNOT BE A FUTURE DATE","NULL"
"25553","PAS","METLIFE","ClaimCheck_Error","24","E324 - AGE CANNOT BE GREATER THAN 124 YEARS","NULL"
"25554","PAS","METLIFE","ClaimCheck_Error","25","E325 - INVALID SURFACE IDENTIFIER. VALID VALUES = B, D, F, I, L, M, O.","NULL"
"25580","PAS","METLIFE","ClaimCheck_Error","58","E358 - ONLY 01 THROUGH 40 #PROCEDURES ALLOWED","NULL"
"25581","PAS","METLIFE","ClaimCheck_Error","59","E359 - PROCEDURE STATUS MUST BE ZERO (0)","NULL"
"25582","PAS","METLIFE","ClaimCheck_Error","60","E360 - CODE ORIGINATION MUST BE ZERO (0)","NULL"
"25583","PAS","METLIFE","ClaimCheck_Error","61","E361 - CLAIM STATUS MUST BE THREE (3)","NULL"
"25584","PAS","METLIFE","ClaimCheck_Error","62","E462 - CLAIM LEVEL PROVIDER OR PROCEDURE LINE PROVIDER REQUIRED","NULL"
"25585","PAS","METLIFE","ClaimCheck_Error","63","E363 - ENTRY FROM MUST BE ONE (1)","NULL"
"25586","PAS","METLIFE","ClaimCheck_Error","64","E364 - RESULTS DISPLAY MUST BE A, D, OR N","NULL"
"25587","PAS","METLIFE","ClaimCheck_Error","65","E365 - CLIENT CLAIM# REQUIRED","NULL"
"25588","PAS","METLIFE","ClaimCheck_Error","66","E366 - *PROCEDURES DOES NOT MATCH *SUBMITTED","NULL"
"25589","PAS","METLIFE","ClaimCheck_Error","67","E367 - CODING SYSTEM MUST BE THREE (3)","NULL"
"25590","PAS","METLIFE","ClaimCheck_Error","68","E368 - SOURCE PROGRAM MUST BE ONE (1)","NULL"
"25591","PAS","METLIFE","ClaimCheck_Error","69","E369 - ENTRY MODE MUST BE A C","NULL"
"25555","PAS","METLIFE","ClaimCheck_Error","27","E327 - ACCOUNT NOT FOUND ON CLIENT OPTIONS FILE","NULL"
"25556","PAS","METLIFE","ClaimCheck_Error","31","E331 - DCPROF FILE ERROR - CONTACT YOUR SUPPORT REP","NULL"
"25557","PAS","METLIFE","ClaimCheck_Error","32","E332 - DUPLICATE SURFACE IDENTIFIERS HAVE BEEN ENTERED.","NULL"
"25558","PAS","METLIFE","ClaimCheck_Error","33","E333 - I AND 0 ARE CONFLICTING SURFACE IDENTIFIERS.","NULL"
"25559","PAS","METLIFE","ClaimCheck_Error","34","E334 - MODIFIER NOT VALID FOR THIS PROCEDURE","NULL"
"25560","PAS","METLIFE","ClaimCheck_Error","36","E336 - NO TRAILER RECORD FOR ACCOUNT","NULL"
"25561","PAS","METLIFE","ClaimCheck_Error","37","E337 - NO TRANSACTION RECORDS FOR ACCOUNT","NULL"
"25562","PAS","METLIFE","ClaimCheck_Error","38","E338 - RECORD COUNT MISMATCH","NULL"
"25563","PAS","METLIFE","ClaimCheck_Error","39","E339 - PX COUNT MISMATCH","NULL"
"25564","PAS","METLIFE","ClaimCheck_Error","41","E341 - B AND F ARE CONFLICTING SURFACE IDENTIFIERS.","NULL"
"25565","PAS","METLIFE","ClaimCheck_Error","42","E442 - SPECIALTY MUST BE A HBOC VALID CODE","NULL"
"25566","PAS","METLIFE","ClaimCheck_Error","43","E343 - DIAGNOSIS 1 MUST BE A VALID ICD9 CODE","NULL"
"25567","PAS","METLIFE","ClaimCheck_Error","44","E344 - DIAGNOSIS 2 MUST BE A VALID ICD9 CODE","NULL"
"25568","PAS","METLIFE","ClaimCheck_Error","45","E345 - DIAGNOSIS 3 MUST BE A VALID ICD9 CODE","NULL"
"25569","PAS","METLIFE","ClaimCheck_Error","46","E346 - DIAGNOSIS 4 MUST BE A VALID ICD9 CODE","NULL"
"25570","PAS","METLIFE","ClaimCheck_Error","47","E347 - DIAGNOSIS MUST BE A VALID ICD9 CODE","NULL"
"25571","PAS","METLIFE","ClaimCheck_Error","48","E448 - PROCEDURE LINE DIAGNOSIS MUST BE A VALID ICD9 CODE","NULL"
"25572","PAS","METLIFE","ClaimCheck_Error","50","E350 - INVALID DATE (DATE OF BIRTH)","NULL"
"25573","PAS","METLIFE","ClaimCheck_Error","51","E351 - INVALID DATE (DEFAULT DOS)","NULL"
"25574","PAS","METLIFE","ClaimCheck_Error","52","E352 - INVALID DATE (PX-LEVEL DOS)","NULL"
"25575","PAS","METLIFE","ClaimCheck_Error","53","E353 - INVALID AMOUNT CHARGED","NULL"
"25576","PAS","METLIFE","ClaimCheck_Error","54","E354 - INVALID UCR","NULL"
"25577","PAS","METLIFE","ClaimCheck_Error","55","E355 - USER ID REQUIRED","NULL"
"25578","PAS","METLIFE","ClaimCheck_Error","56","E356 - RETURN PROGRAM REQUIRED","NULL"
"25579","PAS","METLIFE","ClaimCheck_Error","57","E357 - SPACES NOT ALLOWED IN A NUMERIC FIELD","NULL"
"25906","HWSI","MAJESCO","CoverageInd","EES","4","CoverageInd"
"25615","PAS","METLIFE","ClaimCheck_Error","93","E393 - FILE DCCMCE UNAVAILABLE","NULL"
"25616","PAS","METLIFE","ClaimCheck_Error","94","E31D - LEAT DATA INVALID - CONTACT HBOC","NULL"
"25617","PAS","METLIFE","ClaimCheck_Error","97","E397 - FILE DCICD UNAVAILABLE","NULL"
"25618","PAS","METLIFE","ClaimCheck_Error","98","E398 - FILE DCMOD UNAVAILABLE","NULL"
"25619","PAS","GSSP","ProvisionSequence-LTD","Maximum Monthly Benefit_BASE_*_MaxBenSpecified","2","Retrieving Provision Sequence"
"25620","PAS","GSSP","ProvisionSequence-LTD","Employee Assistance Program (EAP) Option_*_*EAP","7","Retrieving Provision Sequence"
"27101","GSSP","MAJESCO","Maj_PAS","Batch Admin","batchAdmin","PASroles"
"25621","PAS","GSSP","ProvisionSequence-LTD","Elimination Period Days_*_*_GeneralFeatures","3","Retrieving Provision Sequence"
"25622","PAS","GSSP","ProvisionSequence-LTD","Maximum Benefit Period_*_*_GeneralFeatures","4","Retrieving Provision Sequence"
"25623","PAS","GSSP","ProvisionSequence-LTD","Gross Up_*_*_Funding","6","Retrieving Provision Sequence"
"25624","PAS","GSSP","ProvisionSequence-LTD","Monthly Benefit %_BASE_*_BenAmtSpecified","1","Retrieving Provision Sequence"
"25625","PAS","GSSP","ProvisionSequence-LTD","Occupation Definition_*_*_GeneralFeatures","5","Retrieving Provision Sequence"
"25626","PAS","GSSP","ProvisionSequence-VIS","Frame Allowance (in Network)_*_*_GeneralFeatures","1","Retrieving Provision Sequence"
"25592","PAS","METLIFE","ClaimCheck_Error","70","E470 - ALL PROCEDURE CODES PREVIOUSLY AUDITED & CANNOT BE REAUDITED","NULL"
"25593","PAS","METLIFE","ClaimCheck_Error","71","E371 - FILE DCPROF UNAVAILABLE","NULL"
"25594","PAS","METLIFE","ClaimCheck_Error","72","E372 - FILE DCMCR UNAVAILABLE","NULL"
"25595","PAS","METLIFE","ClaimCheck_Error","73","E373 - FILE DCME UNAVAILABLE","NULL"
"25596","PAS","METLIFE","ClaimCheck_Error","74","E374 - FILE DCINCUNAVAILABLE","NULL"
"25597","PAS","METLIFE","ClaimCheck_Error","75","E375 - FILE DCCPFUNAVAILABLE","NULL"
"25598","PAS","METLIFE","ClaimCheck_Error","76","E376 - FILE DCLOGUNAVAILABLE","NULL"
"25599","PAS","METLIFE","ClaimCheck_Error","77","E477 - HISTORY STATUS INDICATOR MUST HAVE HBOC VALID VALUE","NULL"
"25600","PAS","METLIFE","ClaimCheck_Error","78","E378 - FILE DCLOG IS FULL","NULL"
"25601","PAS","METLIFE","ClaimCheck_Error","79","E379 - CENTURY REQUIRED FOR DATE OF BIRTH","NULL"
"25602","PAS","METLIFE","ClaimCheck_Error","80","E380 - INVALID PROCEDURE CODE WITH LOCATION","NULL"
"25603","PAS","METLIFE","ClaimCheck_Error","81","E381 - INVALID LOCATION IDENTIFIER","NULL"
"25604","PAS","METLIFE","ClaimCheck_Error","82","E382 - FILE DCCMCR UNAVAILABLE","NULL"
"25605","PAS","METLIFE","ClaimCheck_Error","83","E383 - FILE DCCMEUNAVAILABLE","NULL"
"25606","PAS","METLIFE","ClaimCheck_Error","84","E384 - FILE DCCINC UNAVAILABLE","NULL"
"25607","PAS","METLIFE","ClaimCheck_Error","85","E385 - FILE DCCCPF UNAVAILABLE","NULL"
"25608","PAS","METLIFE","ClaimCheck_Error","86","E386 - FILE DCLVRUNAVAILABLE","NULL"
"25609","PAS","METLIFE","ClaimCheck_Error","87","E387 - FILE DCCLVR UNAVAILABLE","NULL"
"25610","PAS","METLIFE","ClaimCheck_Error","88","E31A - FILE DCLEAT UNAVAILABLE","NULL"
"25611","PAS","METLIFE","ClaimCheck_Error","89","E31B - FILE DCCLEAT UNAVAILABLE","NULL"
"25612","PAS","METLIFE","ClaimCheck_Error","90","E490 - LOCATION IDENTIFIER REQUIRED","NULL"
"25613","PAS","METLIFE","ClaimCheck_Error","91","E391 - DATABASE VERSION # ERROR","NULL"
"25614","PAS","METLIFE","ClaimCheck_Error","92","E392 - FILE DCMCE UNAVAILABLE","NULL"
"25627","PAS","GSSP","ProvisionSequence-VIS","Exam Copay (in Network)_*_*_Copay","2","Retrieving Provision Sequence"
"25907","HWSI","MAJESCO","CoverageInd","EE2","4","CoverageInd"
"25628","PAS","GSSP","ProvisionSequence-VIS","Materials Copay (in Network)_*_*_Copay","3","Retrieving Provision Sequence"
"25629","PAS","GSSP","ProvisionSequence-VIS","Frequency (Exam/Lenses/Frames)_*_*_GeneralFeatures","4","Retrieving Provision Sequence"
"25630","PAS","GSSP","ProvisionSequence-STD","Weekly Benefit Percentage_BASE_*_BenAmtSpecified","1","Retrieving Provision Sequence"
"25631","PAS","GSSP","ProvisionSequence-STD","Maximum Weekly benefit_BASE_*_MaxBenSpecified","2","Retrieving Provision Sequence"
"27026","GSSP","MAJESCO","Maj_Bil","Sales Regional Lead","SALES_REG_LEAD","billingroles"
"25632","PAS","GSSP","ProvisionSequence-STD","Elimination Period Days_*_*_GeneralFeatures","3","Retrieving Provision Sequence"
"25633","PAS","GSSP","ProvisionSequence-STD","Maximum Benefit Period_*_*_GeneralFeatures","4","Retrieving Provision Sequence"
"25634","PAS","GSSP","ProvisionSequence-STD","Gross Up_*_*_Funding","5","Retrieving Provision Sequence"
"25635","PAS","GSSP","ProvisionSequence-ACC","Coverage type_*_*_GeneralFeatures","1","Retrieving Provision Sequence"
"25636","PAS","GSSP","ProvisionSequence-HI","Confinement Period_HOSPITALCONFINEMENT_*_DurationRestriction","1","Retrieving Provision Sequence"
"25637","PAS","GSSP","ProvisionSequence-BSCL","Basic Life and AD&D Benefit_*_*_CoveredAmounts","1","Retrieving Provision Sequence"
"25638","PAS","GSSP","ProvisionSequence-BSCL","Disability Provision_*_*_GeneralFeatures","2","Retrieving Provision Sequence"
"25639","PAS","GSSP","ProvisionSequence-BSCL","Portability_*_*_Portability","3","Retrieving Provision Sequence"
"25652","PAS","GSSP","ProvisionSequence-CIAA","Benefit Amount - Employee_BENEFITAMOUNT_*_BenAmtSpecified","1","Retrieving Provision Sequence"
"25653","PAS","GSSP","ProvisionSequence-CIAA","Benefit Amount - Spouse/Domestic Partner_BENEFITAMOUNT_*_BenAmtSpecified","2","Retrieving Provision Sequence"
"25654","PAS","GSSP","ProvisionSequence-CIAA","Benefit Amount - Children_BENEFITAMOUNT_*_BenAmtSpecified","3","Retrieving Provision Sequence"
"25655","MAJESCO","RESERVES","SalesOff_FIN_RSPN","75","75","Atlanta"
"25669","MAJESCO","RESERVES","SalesOff_FIN_RSPN","48","48","Denver"
"25670","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","48","03D","Denver"
"25671","MAJESCO","RESERVES","SalesOff_FIN_RSPN","79","79","Detroit"
"25672","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","79","03E","Detroit"
"25673","MAJESCO","RESERVES","SalesOff_FIN_RSPN","88","88","Houston"
"25674","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","88","03F","Houston"
"25675","MAJESCO","RESERVES","SalesOff_FIN_RSPN","80","80","Kansas City"
"25676","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","80","03G","Kansas City"
"25677","MAJESCO","RESERVES","SalesOff_FIN_RSPN","42","42","Los Angeles"
"25678","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","42","03H","Los Angeles"
"25679","MAJESCO","RESERVES","SalesOff_FIN_RSPN","20","20","Miami"
"25680","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","20","03I","Miami"
"25681","MAJESCO","RESERVES","SalesOff_FIN_RSPN","37","37","Milwaukee"
"25682","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","37","03J","Milwaukee"
"25683","MAJESCO","RESERVES","SalesOff_FIN_RSPN","74","74","Minneapolis"
"25684","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","74","03K","Minneapolis"
"25685","MAJESCO","RESERVES","SalesOff_FIN_RSPN","44","44","Nashville"
"25686","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","44","03L","Nashville"
"25687","MAJESCO","RESERVES","SalesOff_FIN_RSPN","81","81","New Jersey"
"25688","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","81","03M","New Jersey"
"25689","MAJESCO","RESERVES","SalesOff_FIN_RSPN","90","90","New York"
"25690","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","90","03N","New York"
"25691","MAJESCO","RESERVES","SalesOff_FIN_RSPN","82","82","Philadelphia"
"25692","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","82","03O","Philadelphia"
"25693","MAJESCO","RESERVES","SalesOff_FIN_RSPN","85","85","Phoenix"
"25694","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","85","03P","Phoenix"
"25695","MAJESCO","RESERVES","SalesOff_FIN_RSPN","83","83","Pittsburgh"
"25696","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","83","03Q","Pittsburgh"
"25656","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","75","030","Atlanta"
"25657","MAJESCO","RESERVES","SalesOff_FIN_RSPN","76","76","Boston"
"25658","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","76","032","Boston"
"25659","MAJESCO","RESERVES","SalesOff_FIN_RSPN","77","77","Charlotte"
"25660","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","77","033","Charlotte"
"25661","MAJESCO","RESERVES","SalesOff_FIN_RSPN","78","78","Chicago"
"25662","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","78","038","Chicago"
"25663","MAJESCO","RESERVES","SalesOff_FIN_RSPN","87","87","Cincinatti"
"25664","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","87","039","Cincinatti"
"25665","MAJESCO","RESERVES","SalesOff_FIN_RSPN","47","47","Cleveland"
"25666","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","47","03B","Cleveland"
"25667","MAJESCO","RESERVES","SalesOff_FIN_RSPN","43","43","Dallas"
"25668","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","43","03C","Dallas"
"25697","MAJESCO","RESERVES","SalesOff_FIN_RSPN","84","84","Portland"
"25698","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","84","03R","Portland"
"25699","MAJESCO","RESERVES","SalesOff_FIN_RSPN","29","29","San Diego"
"25700","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","29","03S","San Diego"
"25701","MAJESCO","RESERVES","SalesOff_FIN_RSPN","89","89","San Francisco"
"25702","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","89","03T","San Francisco"
"25703","MAJESCO","RESERVES","SalesOff_FIN_RSPN","39","39","Seattle"
"25704","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","39","03U","Seattle"
"25705","MAJESCO","RESERVES","SalesOff_FIN_RSPN","45","45","St Louis"
"25706","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","45","03V","St Louis"
"25707","MAJESCO","RESERVES","SalesOff_FIN_RSPN","46","46","Syracuse"
"25708","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","46","03W","Syracuse"
"25709","MAJESCO","RESERVES","SalesOff_FIN_RSPN","86","86","Tampa"
"25710","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","86","03X","Tampa"
"25711","MAJESCO","RESERVES","SalesOff_FIN_RSPN","41","41","Washington DC"
"25712","MAJESCO","RESERVES","SalesOff_ADMN_UNIT","41","03Y","Washington DC"
"25713","MAJESCO","RESERVES","State","1","AL","Alabama"
"25714","MAJESCO","RESERVES","State","2","AK","Alaska"
"25715","MAJESCO","RESERVES","State","4","AZ","Arizona"
"25716","MAJESCO","RESERVES","State","5","AR","Arkansas"
"25717","MAJESCO","RESERVES","State","6","CA","California"
"25718","MAJESCO","RESERVES","State","7","CO","Colorado"
"25719","MAJESCO","RESERVES","State","8","CT","Connecticut"
"25720","MAJESCO","RESERVES","State","9","DE","Delaware"
"25721","MAJESCO","RESERVES","State","10","DC","District of Columbia"
"25722","MAJESCO","RESERVES","State","12","FL","Florida"
"25723","MAJESCO","RESERVES","State","13","GA","Georgia"
"25724","MAJESCO","RESERVES","State","15","HI","Hawaii"
"25725","MAJESCO","RESERVES","State","16","ID","Idaho"
"25726","MAJESCO","RESERVES","State","17","IL","Illinois"
"25727","MAJESCO","RESERVES","State","18","IN","Indiana"
"25728","MAJESCO","RESERVES","State","19","IA","Iowa"
"25729","MAJESCO","RESERVES","State","20","KS","Kansas"
"25730","MAJESCO","RESERVES","State","21","KY","Kentucky"
"25731","MAJESCO","RESERVES","State","22","LA","Louisiana"
"25732","MAJESCO","RESERVES","State","23","ME","Maine"
"25733","MAJESCO","RESERVES","State","25","MD","Maryland"
"25734","MAJESCO","RESERVES","State","26","MA","Massachusetts"
"25735","MAJESCO","RESERVES","State","27","MI","Michigan"
"25736","MAJESCO","RESERVES","State","28","MN","Minnesota"
"25737","MAJESCO","RESERVES","State","29","MS","Mississippi"
"25738","MAJESCO","RESERVES","State","30","MO","Missouri"
"25739","MAJESCO","RESERVES","State","31","MT","Montana"
"25740","MAJESCO","RESERVES","State","32","NE","Nebraska"
"25741","MAJESCO","RESERVES","State","33","NV","Nevada"
"25742","MAJESCO","RESERVES","State","34","NH","New Hampshire"
"25743","MAJESCO","RESERVES","State","35","NJ","New Jersey"
"25744","MAJESCO","RESERVES","State","36","NM","New Mexico"
"25745","MAJESCO","RESERVES","State","37","NY","New York"
"25746","MAJESCO","RESERVES","State","38","NC","North Carolina"
"25747","MAJESCO","RESERVES","State","39","ND","North Dakota"
"25748","MAJESCO","RESERVES","State","41","OH","Ohio"
"25749","MAJESCO","RESERVES","State","42","OK","Oklahoma"
"25750","MAJESCO","RESERVES","State","43","OR","Oregon"
"25751","MAJESCO","RESERVES","State","45","PA","Pennsylvania"
"25752","MAJESCO","RESERVES","State","46","PR","Puerto Rico"
"25753","MAJESCO","RESERVES","State","47","RI","Rhode Island "
"25754","MAJESCO","RESERVES","State","48","SC","South Carolina"
"25755","MAJESCO","RESERVES","State","49","SD","South Dakota"
"25756","MAJESCO","RESERVES","State","50","TN","Tennessee"
"25757","MAJESCO","RESERVES","State","51","TX","Texas"
"25758","MAJESCO","RESERVES","State","52","UT","Utah"
"25759","MAJESCO","RESERVES","State","53","VT","Vermont"
"25760","MAJESCO","RESERVES","State","55","VA","Virginia"
"25761","MAJESCO","RESERVES","State","56","WA","Washington"
"25762","MAJESCO","RESERVES","State","57","WV","West Virginia"
"25763","MAJESCO","RESERVES","State","58","WI","Wisconsin"
"25764","MAJESCO","RESERVES","State","59","WY","Wyoming"
"25765","GSSP","CORE","MajescoAMDEND","ReinsateSubGroup","SubGrpChange|SubGrpReinstate|Other",
"25766","PAS","GSSP","LTD","Early Submit","ES","NULL"
"25767","PAS","GSSP","STD","Early Submit","ES","NULL"
"25768","GSSP","CORE","MajescoAMDEND","EmailChange-END","DemoChange|EmailChange|Other",
"25908","HWSI","MAJESCO","CoverageInd","EE1","4","CoverageInd"
"25813","PAS","GSSP","ProvisionSequence-DPPO","Out of Network Claims Reimbursement_*_*_GeneralFeatures","7","Retrieving Provision Sequence"
"25814","PAS","GSSP","ProvisionSequence-DPPO","Coinsurance In-Network - Preventive_Preventive_*_Coinsurance","1","Retrieving Provision Sequence"
"25815","PAS","GSSP","ProvisionSequence-DPPO","Coinsurance In-Network - Basic_Basic_*_Coinsurance","2","Retrieving Provision Sequence"
"25816","PAS","GSSP","ProvisionSequence-DPPO","Coinsurance In-Network - Major_Major_*_Coinsurance","3","Retrieving Provision Sequence"
"25817","PAS","GSSP","ProvisionSequence-DPPO","Coinsurance Out-Network - Preventive_Preventive_*_Coinsurance","4","Retrieving Provision Sequence"
"25818","PAS","GSSP","ProvisionSequence-DPPO","Coinsurance Out-Network - Basic_Basic_*_Coinsurance","5","Retrieving Provision Sequence"
"25819","PAS","GSSP","ProvisionSequence-DPPO","Coinsurance Out-Network - Major_Major_*_Coinsurance","6","Retrieving Provision Sequence"
"25820","PAS","GSSP","ProvisionSequence-DPPO","Annual Maximum In Network_*_*_AnnualMaximum","8","Retrieving Provision Sequence"
"25821","PAS","GSSP","ProvisionSequence-DPPO","Annual Maximum Out of Network_*_*_AnnualMaximum","9","Retrieving Provision Sequence"
"27166","GSSP","PAS","MaintenanceAddress","WORK","PrimaryAddress",
"25822","PAS","GSSP","ProvisionSequence-DPPO","Individual Deductible In-Network_*_*_Deductible","10","Retrieving Provision Sequence"
"25909","HWSI","MAJESCO","CoverageInd","EEC","4","CoverageInd"
"25859","HWSI","MAJESCO","Language","Korean","KO","Preferred Language"
"25844","HWSI","MAJESCO","Language","Farsi","FA","Preferred Language"
"25845","HWSI","MAJESCO","Language","Filipino","FI","Preferred Language"
"25846","HWSI","MAJESCO","Language","Flemish","FL","Preferred Language"
"25847","HWSI","MAJESCO","Language","Finnish","FN","Preferred Language"
"25848","HWSI","MAJESCO","Language","French","FR","Preferred Language"
"25849","HWSI","MAJESCO","Language","German","GE","Preferred Language"
"25850","HWSI","MAJESCO","Language","Greek","GR","Preferred Language"
"25851","HWSI","MAJESCO","Language","Gujarati","GU","Preferred Language"
"25852","HWSI","MAJESCO","Language","Hebrew","HE","Preferred Language"
"25853","HWSI","MAJESCO","Language","Hindi","HI","Preferred Language"
"25854","HWSI","MAJESCO","Language","Hmong","HM","Preferred Language"
"25855","HWSI","MAJESCO","Language","Ilocano","IL","Preferred Language"
"25856","HWSI","MAJESCO","Language","Indonesian","IN","Preferred Language"
"25857","HWSI","MAJESCO","Language","Italian","IT","Preferred Language"
"25858","HWSI","MAJESCO","Language","Japanese","JA","Preferred Language"
"25823","PAS","GSSP","ProvisionSequence-DPPO","Individual Deductible Out of Network_*_*_Deductible","11","Retrieving Provision Sequence"
"25824","PAS","GSSP","ProvisionSequence-DPPO","Orthodontia Coverage_*_*_Ortho","12","Retrieving Provision Sequence"
"25825","PAS","GSSP","ProvisionSequence-DPPO","Coinsurance In-Network - Orthodontia_Orthodontic_*_Coinsurance","13","Retrieving Provision Sequence"
"25826","PAS","GSSP","ProvisionSequence-DPPO","Coinsurance Out-Network - Orthodontia_Orthodontic_*_Coinsurance","14","Retrieving Provision Sequence"
"25827","PAS","GSSP","ProvisionSequence-DPPO","Lifetime Maximum In Network Orthodontia_Orthodontic_*_LifetimeMaximum","15","Retrieving Provision Sequence"
"25828","PAS","GSSP","ProvisionSequence-DPPO","Lifetime Maximum Out of Network Orthodontia_Orthodontic_*_LifetimeMaximum","16","Retrieving Provision Sequence"
"25829","PAS","GSSP","ProvisionSequence-DPPO","Orthodontia Age Limit (Child)_*_*_Ortho","17","Retrieving Provision Sequence"
"25830","PAS","GSSP","ProvisionSequence-DPPO","Benefit Allocation & Frequency_*_*_Benefit","23","Retrieving Provision Sequence"
"25831","HWSI","MAJESCO","Language","English","EN","Preferred Language"
"25832","HWSI","MAJESCO","Language","Armenian","AM","Preferred Language"
"25833","HWSI","MAJESCO","Language","Arabic","AR","Preferred Language"
"25834","HWSI","MAJESCO","Language","Bangazi","BA","Preferred Language"
"25835","HWSI","MAJESCO","Language","Cantonese","CA","Preferred Language"
"25836","HWSI","MAJESCO","Language","Chinese","CH","Preferred Language"
"25837","HWSI","MAJESCO","Language","Czechoslovokian","CK","Preferred Language"
"25838","HWSI","MAJESCO","Language","Cambodian","CM","Preferred Language"
"25839","HWSI","MAJESCO","Language","Creole","CR","Preferred Language"
"25840","HWSI","MAJESCO","Language","Danish","DA","Preferred Language"
